"axios@0.17.1";"Copyright (c) 2014 Matt Zabriskie";"MIT"
"follow-redirects@1.2.6";"Copyright 2017 Olivier Lalonde <olalonde@gmail.com>, James Talmage <james@talmage.io>, Ruben Verborgh";"MIT"
"debug@3.1.0";"Copyright (c) 2014 TJ Holowaychuk <tj@vision-media.ca>";"MIT"
"is-buffer@1.1.6";"Copyright (c) Feross Aboukhadijeh";"MIT"
"github-api@3.0.0";"Copyright (c) 2012 Michael Aufreiter, Development Seed";"BSD-3-Clause-Clear"
"axios@0.15.3";"Copyright (c) 2014 Matt Zabriskie";"MIT"
"follow-redirects@1.0.0";"Copyright 2017 Olivier Lalonde <olalonde@gmail.com>, James Talmage <james@talmage.io>, Ruben Verborgh";"MIT"
"debug@2.6.9";"Copyright (c) 2014 TJ Holowaychuk <tj@vision-media.ca>";"MIT"
"ms@2.0.0";"Copyright (c) 2016 Zeit, Inc.";"MIT"
"js-base64@2.4.0";"Copyright (c) 2014, Dan Kogai";"BSD-3-Clause"
"utf8@2.1.2";"Copyright Mathias Bynens <https://mathiasbynens.be/>";"MIT"
"ini@1.3.5";"Copyright (c) Isaac Z. Schlueter and Contributors";"ISC"
"json5@0.5.1";"Copyright (c) 2012-2016 Aseem Kishore, and [others](https://github.com/aseemk/json5/contributors).";"MIT"
"jszip@3.1.5";"Copyright (c) 2009-2016 Stuart Knightley, David Duponchel, Franz Buchinger, António Afonso";"(MIT OR GPL-3.0)"
"core-js@2.3.0";"Copyright (c) 2014-2016 Denis Pushkarev";"MIT"
"es6-promise@3.0.2";"Copyright (c) 2014 Yehuda Katz, Tom Dale, Stefan Penner and contributors";"MIT"
"lie@3.1.1";"#Copyright (c) 2014 Calvin Metcalf ";"MIT"
"immediate@3.0.6";"Copyright (c) 2012 Barnesandnoble.com, llc, Donavon West, Domenic Denicola, Brian Cavalier";"MIT"
"pako@1.0.6";"Copyright (C) 2014-2017 by Vitaly Puzrin and Andrei Tuputcyn";"(MIT AND Zlib)"
"readable-stream@2.0.6";"Copyright Joyent, Inc. and other Node contributors. All rights reserved.";"MIT"
"core-util-is@1.0.2";"Copyright Node.js contributors. All rights reserved.";"MIT"
"inherits@2.0.3";"Copyright (c) Isaac Z. Schlueter";"ISC"
"isarray@1.0.0";"Copyright (c) Julian Gruber";"MIT"
"process-nextick-args@1.0.7";"# Copyright (c) 2015 Calvin Metcalf";"MIT"
"string_decoder@0.10.31";"Copyright Joyent, Inc. and other Node contributors.";"MIT"
