"demomonkey@";"";"Apache-2.0"
"axios@0.17.1";"Copyright (c) 2014 Matt Zabriskie";"MIT"
"follow-redirects@1.2.6";"Copyright 2017 Olivier Lalonde <olalonde@gmail.com>, James Talmage <james@talmage.io>, Ruben Verborgh";"MIT"
"debug@3.1.0";"Copyright (c) 2014 TJ Holowaychuk <tj@vision-media.ca>";"MIT"
"is-buffer@1.1.6";"Copyright (c) Feross Aboukhadijeh";"MIT"
"color@3.0.0";"Copyright (c) 2012 Heather Arthur";"MIT"
"color-convert@1.9.1";"Copyright (c) 2011-2016 Heather Arthur <fayearthur@gmail.com>";"MIT"
"color-name@1.1.3";"Copyright (c) 2015 Dmitry Ivanov";"MIT"
"color-string@1.5.3";"Copyright (c) 2011 Heather Arthur <fayearthur@gmail.com>";"MIT"
"simple-swizzle@0.2.2";"Copyright (c) 2015 Josh Junon";"MIT"
"is-arrayish@0.3.2";"Copyright (c) 2015 JD Ballard";"MIT"
"deepmerge@2.1.1";"Copyright (c) 2012 Nicholas Fisher";"MIT"
"github-api@3.0.0";"Copyright (c) 2012 Michael Aufreiter, Development Seed";"BSD-3-Clause-Clear"
"axios@0.15.3";"Copyright (c) 2014 Matt Zabriskie";"MIT"
"follow-redirects@1.0.0";"";"MIT"
"debug@2.6.9";"Copyright (c) 2014 TJ Holowaychuk <tj@vision-media.ca>";"MIT"
"ms@2.0.0";"Copyright (c) 2016 Zeit, Inc.";"MIT"
"utf8@2.1.2";"Copyright Mathias Bynens <https://mathiasbynens.be/>";"MIT"
"ini@1.3.5";"Copyright (c) Isaac Z. Schlueter and Contributors";"ISC"
"js-base64@2.4.5";"Copyright (c) 2014, Dan Kogai";"BSD-3-Clause"
"json5@0.5.1";"Copyright (c) 2012-2016 Aseem Kishore, and [others](https://github.com/aseemk/json5/contributors).";"MIT"
"jszip@3.1.5";"Copyright (c) 2009-2016 Stuart Knightley, David Duponchel, Franz Buchinger, António Afonso
 Copyright (C) 2007 Free Software Foundation, Inc. <http://fsf.org/>
  "Copyright" also means copyright-like laws that apply to other kinds of";"(MIT OR GPL-3.0)"
"core-js@2.3.0";"Copyright (c) 2014-2016 Denis Pushkarev";"MIT"
"es6-promise@3.0.2";"Copyright (c) 2014 Yehuda Katz, Tom Dale, Stefan Penner and contributors";"MIT"
"lie@3.1.1";"#Copyright (c) 2014 Calvin Metcalf ";"MIT"
"immediate@3.0.6";"Copyright (c) 2012 Barnesandnoble.com, llc, Donavon West, Domenic Denicola, Brian Cavalier";"MIT"
"pako@1.0.6";"Copyright (C) 2014-2017 by Vitaly Puzrin and Andrei Tuputcyn";"(MIT AND Zlib)"
"readable-stream@2.0.6";"Copyright Joyent, Inc. and other Node contributors. All rights reserved.";"MIT"
"core-util-is@1.0.2";"Copyright Node.js contributors. All rights reserved.";"MIT"
"inherits@2.0.3";"Copyright (c) Isaac Z. Schlueter";"ISC"
"isarray@1.0.0";"";"MIT"
"process-nextick-args@1.0.7";"# Copyright (c) 2015 Calvin Metcalf";"MIT"
"string_decoder@0.10.31";"Copyright Joyent, Inc. and other Node contributors.";"MIT"
"util-deprecate@1.0.2";"Copyright (c) 2014 Nathan Rajlich <nathan@tootallnate.net>";"MIT"
"keymaster@1.6.2";"";""
"mousetrap@1.6.2";"2. Grant of Copyright License. Subject to the terms and conditions of
   (c) You must retain, in the Source form of any Derivative Works";"Apache-2.0 WITH LLVM-exception"
"nunjucks@3.1.3";"Copyright (c) 2012-2015, James Long";"BSD-2-Clause"
"a-sync-waterfall@1.0.0";"Copyright (c) 2013 Elan Shanker";""
"asap@2.0.6";"Copyright 2009–2014 Contributors. All rights reserved.";"MIT"
"chokidar@2.0.4";"";"MIT"
"anymatch@2.0.0";"Copyright (c) 2014 Elan Shanker";"ISC"
"micromatch@3.1.10";"Copyright (c) 2014-2018, Jon Schlinkert.";"MIT"
"arr-diff@4.0.0";"Copyright (c) 2014-2017, Jon Schlinkert";"MIT"
"define-property@2.0.2";"Copyright (c) 2015-2018, Jon Schlinkert.";"MIT"
"is-descriptor@1.0.2";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"is-accessor-descriptor@1.0.0";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"is-data-descriptor@1.0.0";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"kind-of@6.0.2";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"isobject@3.0.1";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"extend-shallow@3.0.2";"Copyright (c) 2014-2015, 2017, Jon Schlinkert.";"MIT"
"assign-symbols@1.0.0";"Copyright (c) 2015, Jon Schlinkert.";"MIT"
"is-extendable@1.0.1";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"is-plain-object@2.0.4";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"isobject@3.0.1";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"extglob@2.0.4";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"define-property@1.0.0";"Copyright (c) 2015, 2017, Jon Schlinkert";"MIT"
"is-descriptor@1.0.2";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"is-accessor-descriptor@1.0.0";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"is-data-descriptor@1.0.0";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"expand-brackets@2.1.4";"Copyright (c) 2015-2016, Jon Schlinkert";"MIT"
"debug@2.6.9";"Copyright (c) 2014 TJ Holowaychuk <tj@vision-media.ca>";"MIT"
"define-property@0.2.5";"Copyright (c) 2015, Jon Schlinkert.";"MIT"
"is-descriptor@0.1.6";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"is-accessor-descriptor@0.1.6";"Copyright (c) 2015, Jon Schlinkert.";"MIT"
"kind-of@3.2.2";"Copyright (c) 2014-2017, Jon Schlinkert";"MIT"
"is-data-descriptor@0.1.4";"Copyright (c) 2015, Jon Schlinkert.";"MIT"
"kind-of@3.2.2";"Copyright (c) 2014-2017, Jon Schlinkert";"MIT"
"kind-of@5.1.0";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"extend-shallow@2.0.1";"Copyright (c) 2014-2015, Jon Schlinkert.";"MIT"
"posix-character-classes@0.1.1";"Copyright (c) 2016-2017, Jon Schlinkert";"MIT"
"extend-shallow@2.0.1";"Copyright (c) 2014-2015, Jon Schlinkert.";"MIT"
"fragment-cache@0.2.1";"Copyright (c) 2016-2017, Jon Schlinkert";"MIT"
"kind-of@6.0.2";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"nanomatch@1.2.13";"Copyright (c) 2016-2018, Jon Schlinkert.";"MIT"
"arr-diff@4.0.0";"Copyright (c) 2014-2017, Jon Schlinkert";"MIT"
"array-unique@0.3.2";"Copyright (c) 2014-2016, Jon Schlinkert";"MIT"
"extend-shallow@3.0.2";"Copyright (c) 2014-2015, 2017, Jon Schlinkert.";"MIT"
"is-extendable@1.0.1";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"is-windows@1.0.2";"Copyright (c) 2015-2018, Jon Schlinkert.";"MIT"
"kind-of@6.0.2";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"object.pick@1.3.0";"Copyright (c) 2014-2016, Jon Schlinkert.";"MIT"
"isobject@3.0.1";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"regex-not@1.0.2";"Copyright (c) 2016, 2018, Jon Schlinkert.";"MIT"
"extend-shallow@3.0.2";"Copyright (c) 2014-2015, 2017, Jon Schlinkert.";"MIT"
"is-extendable@1.0.1";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"async-each@1.0.1";"";"MIT"
"braces@2.3.2";"Copyright (c) 2014-2018, Jon Schlinkert.";"MIT"
"arr-flatten@1.1.0";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"array-unique@0.3.2";"Copyright (c) 2014-2016, Jon Schlinkert";"MIT"
"extend-shallow@2.0.1";"Copyright (c) 2014-2015, Jon Schlinkert.";"MIT"
"is-extendable@0.1.1";"Copyright (c) 2015, Jon Schlinkert.";"MIT"
"fill-range@4.0.0";"Copyright (c) 2014-2017, Jon Schlinkert";"MIT"
"extend-shallow@2.0.1";"Copyright (c) 2014-2015, Jon Schlinkert.";"MIT"
"is-number@3.0.0";"Copyright (c) 2014-2016, Jon Schlinkert";"MIT"
"kind-of@3.2.2";"Copyright (c) 2014-2017, Jon Schlinkert";"MIT"
"repeat-string@1.6.1";"Copyright (c) 2014-2016, Jon Schlinkert.";"MIT"
"to-regex-range@2.1.1";"Copyright (c) 2015-2017, Jon Schlinkert";"MIT"
"is-number@3.0.0";"Copyright (c) 2014-2016, Jon Schlinkert";"MIT"
"isobject@3.0.1";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"repeat-element@1.1.2";"Copyright (c) 2015 Jon Schlinkert";""
"snapdragon@0.8.2";"Copyright (c) 2015-2016, Jon Schlinkert.";"MIT"
"base@0.11.2";"Copyright (c) 2015-2017, Jon Schlinkert.";"MIT"
"cache-base@1.0.1";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"collection-visit@1.0.0";"Copyright (c) 2015, 2017, Jon Schlinkert";"MIT"
"map-visit@1.0.0";"Copyright (c) 2015-2017, Jon Schlinkert";"MIT"
"object-visit@1.0.1";"Copyright (c) 2015, 2017, Jon Schlinkert";"MIT"
"isobject@3.0.1";"Copyright (c) 2014-2017, Jon Schlinkert.";"MIT"
"get-value@2.0.6";"Copyright (c) 2014-2016, Jon Schlinkert.";"MIT"
"has-value@1.0.0";"Copyright (c) 2014-2017, Jon Schlinkert";"MIT"
"has-values@1.0.0";"Copyright (c) 2014-2017, Jon Schlinkert";"MIT"
"is-number@3.0.0";"Copyright (c) 2014-2016, Jon Schlinkert";"MIT"
"kind-of@3.2.2";"Copyright (c) 2014-2017, Jon Schlinkert";"MIT"
